CONTROL_PBIAS_LITE                          0x4A100600
PM_L4PER_UART1_WKDEP                        0x4A307540
RM_L4PER_UART1_CONTEXT                      0x4A307544
PM_L4PER_UART2_WKDEP                        0x4A307548
RM_L4PER_UART2_CONTEXT                      0x4A30754C
PM_L4PER_UART3_WKDEP                        0x4A307550
RM_L4PER_UART3_CONTEXT                      0x4A307554
PM_L4PER_UART4_WKDEP                        0x4A307558
RM_L4PER_UART4_CONTEXT                      0x4A30755C
GPIO1_MODULE_BA                             0x48310000
GPIO2_MODULE_BA                             0x48055000
GPIO3_MODULE_BA                             0x48057000
GPIO4_MODULE_BA                             0x48059000
GPIO5_MODULE_BA                             0x4805b000
GPIO6_MODULE_BA                             0x4805d000
CONTROL_CORE_PAD_GPMC_AD0                   0x4A100040 # CONTROL_CORE_PAD_GPMC_AD0_PAD1_GPMC_AD1[15:0]
CONTROL_CORE_PAD_GPMC_AD1                   0x4A100042 # CONTROL_CORE_PAD_GPMC_AD0_PAD1_GPMC_AD1[31:16]
CONTROL_CORE_PAD_GPMC_AD2                   0x4A100044 # CONTROL_CORE_PAD_GPMC_AD2_PAD1_GPMC_AD3[15:0]
CONTROL_CORE_PAD_GPMC_AD3                   0x4A100046 # CONTROL_CORE_PAD_GPMC_AD2_PAD1_GPMC_AD3[31:16]
CONTROL_CORE_PAD_GPMC_AD4                   0x4A100048 # CONTROL_CORE_PAD_GPMC_AD4_PAD1_GPMC_AD5[15:0]
CONTROL_CORE_PAD_GPMC_AD5                   0x4A10004A # CONTR[31:16]
CONTROL_CORE_PAD_GPMC_AD6                   0x4A10004C # CONTROL_CORE_PAD_GPMC_AD6_PAD1_GPMC_AD7[15:0]
CONTROL_CORE_PAD_GPMC_AD7                   0x4A10004E # CONTROL_CORE_PAD_GPMC_AD6_PAD1_GPMC_AD7[31:16]
CONTROL_CORE_PAD_GPMC_AD8                   0x4A100050 # CONTROL_CORE_PAD_GPMC_AD8_PAD1_GPMC_AD9[15:0]
